,2024,2025,2026
adaptive,0.1108333906895692,0.0,0.0
adaptive routing,0.1108333906895692,0.0,0.0
aggregation,0.0,0.10528928450074668,0.0
ai,0.0,0.0,0.264655856262689
ai deployments,0.0,0.0,0.1112220951679306
ai infrastructure,0.0,0.0,0.1112220951679306
ai solution,0.0,0.0,0.1112220951679306
algorithms,0.1108333906895692,0.0,0.0
allocating,0.0,0.0,0.1112220951679306
allocating compute,0.0,0.0,0.1112220951679306
analytics,0.1108333906895692,0.0,0.0
anomaly,0.1108333906895692,0.0,0.0
anomaly detection,0.1108333906895692,0.0,0.0
api,0.1108333906895692,0.0,0.0
api gateway,0.1108333906895692,0.0,0.0
applications,0.09742424689348594,0.0,0.09776592407969197
architecture,0.1108333906895692,0.0,0.0
architecture reducing,0.1108333906895692,0.0,0.0
authentication,0.0,0.10528928450074668,0.0
authentication protocol,0.0,0.10528928450074668,0.0
balancing,0.1108333906895692,0.0,0.0
balancing distributed,0.1108333906895692,0.0,0.0
based,0.09742424689348594,0.0,0.09776592407969197
based applications,0.0,0.0,0.1112220951679306
based data,0.1108333906895692,0.0,0.0
blockchain,0.1108333906895692,0.0,0.0
blockchain based,0.1108333906895692,0.0,0.0
carbon,0.0,0.0,0.19553184815938393
carbon energy,0.0,0.0,0.1112220951679306
carbon footprint,0.0,0.0,0.1112220951679306
center,0.0,0.10528928450074668,0.0
center operations,0.0,0.10528928450074668,0.0
centers,0.0,0.10528928450074668,0.0
city,0.1108333906895692,0.0,0.0
city infrastructure,0.1108333906895692,0.0,0.0
cloud,0.1490023283334526,0.07077446806222731,0.14952489533198204
cloud based,0.0,0.0,0.1112220951679306
cloud native,0.1108333906895692,0.0,0.0
cloud performance,0.0,0.10528928450074668,0.0
cloud resource,0.1108333906895692,0.0,0.0
cloud workload,0.0,0.0,0.1112220951679306
compliance,0.0,0.0,0.1112220951679306
compliance monitoring,0.0,0.0,0.1112220951679306
compression,0.0,0.10528928450074668,0.0
compression technique,0.0,0.10528928450074668,0.0
compute,0.0,0.0,0.1112220951679306
compute edge,0.0,0.0,0.1112220951679306
computing,0.1108333906895692,0.0,0.0
computing load,0.1108333906895692,0.0,0.0
consumption,0.1108333906895692,0.0,0.0
consumption edge,0.1108333906895692,0.0,0.0
cooling,0.0,0.10528928450074668,0.0
cooling energy,0.0,0.10528928450074668,0.0
data,0.08791030796280956,0.16702571974125516,0.0
data center,0.0,0.10528928450074668,0.0
data centers,0.0,0.10528928450074668,0.0
data integrity,0.1108333906895692,0.0,0.0
deep,0.0,0.18510178538469285,0.0
deep learning,0.0,0.18510178538469285,0.0
deploying,0.0,0.10528928450074668,0.0
deploying deep,0.0,0.10528928450074668,0.0
deployments,0.0,0.0,0.1112220951679306
detection,0.1108333906895692,0.0,0.0
detection enterprise,0.1108333906895692,0.0,0.0
devices,0.1108333906895692,0.0,0.0
devices smart,0.1108333906895692,0.0,0.0
distributed,0.17582061592561912,0.0,0.08821861875422966
distributed edge,0.0,0.0,0.1112220951679306
distributed iot,0.1108333906895692,0.0,0.0
distributed storage,0.1108333906895692,0.0,0.0
dynamic,0.1108333906895692,0.0,0.0
dynamic cloud,0.1108333906895692,0.0,0.0
dynamically,0.0,0.0,0.1112220951679306
dynamically allocating,0.0,0.0,0.1112220951679306
ecosystems,0.0,0.10528928450074668,0.0
edge,0.13880648858925304,0.06593155626068448,0.2089399465415766
edge ai,0.0,0.0,0.1112220951679306
edge computing,0.1108333906895692,0.0,0.0
edge devices,0.1108333906895692,0.0,0.0
edge environments,0.0,0.0,0.1112220951679306
edge hardware,0.0,0.10528928450074668,0.0
efficiency,0.0,0.0,0.1112220951679306
efficient,0.0,0.10528928450074668,0.0
efficient data,0.0,0.10528928450074668,0.0
encrypted,0.0,0.10528928450074668,0.0
encrypted gradient,0.0,0.10528928450074668,0.0
encryption,0.0,0.0,0.1112220951679306
encryption framework,0.0,0.0,0.1112220951679306
energy,0.0,0.08351285987062758,0.17643723750845933
energy efficiency,0.0,0.0,0.1112220951679306
energy efficient,0.0,0.10528928450074668,0.0
energy sources,0.0,0.0,0.1112220951679306
enterprise,0.1108333906895692,0.0,0.0
enterprise network,0.1108333906895692,0.0,0.0
environments,0.17582061592561912,0.0,0.08821861875422966
environments using,0.1108333906895692,0.0,0.0
ethical,0.0,0.0,0.1112220951679306
ethical responsible,0.0,0.0,0.1112220951679306
federated,0.0,0.10528928450074668,0.0
federated learning,0.0,0.10528928450074668,0.0
footprint,0.0,0.0,0.1112220951679306
footprint energy,0.0,0.0,0.1112220951679306
framework,0.16106144722327684,0.0765024169759951,0.08081315341658055
framework anomaly,0.1108333906895692,0.0,0.0
framework cloud,0.09742424689348594,0.0,0.09776592407969197
framework improving,0.0,0.10528928450074668,0.0
gateway,0.1108333906895692,0.0,0.0
gateway framework,0.1108333906895692,0.0,0.0
gradient,0.0,0.10528928450074668,0.0
gradient aggregation,0.0,0.10528928450074668,0.0
hardware,0.0,0.10528928450074668,0.0
healthcare,0.0,0.0,0.1112220951679306
healthcare monitoring,0.0,0.0,0.1112220951679306
hyperscale,0.0,0.10528928450074668,0.0
hyperscale data,0.0,0.10528928450074668,0.0
improving,0.0,0.10528928450074668,0.0
improving cloud,0.0,0.10528928450074668,0.0
industrial,0.0,0.10528928450074668,0.0
industrial iot,0.0,0.10528928450074668,0.0
infrastructure,0.09742424689348594,0.0,0.09776592407969197
infrastructure optimized,0.0,0.0,0.1112220951679306
integrity,0.1108333906895692,0.0,0.0
integrity verification,0.1108333906895692,0.0,0.0
iot,0.08791030796280956,0.16702571974125516,0.0
iot ecosystems,0.0,0.10528928450074668,0.0
iot environments,0.1108333906895692,0.0,0.0
large,0.0,0.10528928450074668,0.0
large scale,0.0,0.10528928450074668,0.0
latency,0.0,0.0,0.1112220951679306
latency distributed,0.0,0.0,0.1112220951679306
learning,0.08053072361163842,0.2295072509279853,0.0
learning framework,0.1108333906895692,0.0,0.0
learning industrial,0.0,0.10528928450074668,0.0
learning model,0.0,0.10528928450074668,0.0
learning models,0.0,0.10528928450074668,0.0
lightweight,0.0,0.10528928450074668,0.0
lightweight authentication,0.0,0.10528928450074668,0.0
liquid,0.0,0.10528928450074668,0.0
liquid cooling,0.0,0.10528928450074668,0.0
load,0.1108333906895692,0.0,0.0
load balancing,0.1108333906895692,0.0,0.0
low,0.0,0.0,0.1112220951679306
low carbon,0.0,0.0,0.1112220951679306
machine,0.1108333906895692,0.0,0.0
machine learning,0.1108333906895692,0.0,0.0
maintenance,0.0,0.10528928450074668,0.0
maintenance model,0.0,0.10528928450074668,0.0
management,0.0,0.0,0.1112220951679306
management dynamically,0.0,0.0,0.1112220951679306
method,0.09742424689348594,0.09255089269234643,0.0
method dynamic,0.1108333906895692,0.0,0.0
method reduce,0.0,0.10528928450074668,0.0
microservices,0.0,0.10528928450074668,0.0
microservices orchestration,0.0,0.10528928450074668,0.0
model,0.0,0.25053857961188275,0.0
model compression,0.0,0.10528928450074668,0.0
model encrypted,0.0,0.10528928450074668,0.0
model using,0.0,0.10528928450074668,0.0
models,0.0,0.10528928450074668,0.0
models edge,0.0,0.10528928450074668,0.0
monitoring,0.0,0.0,0.19553184815938393
monitoring ethical,0.0,0.0,0.1112220951679306
monitoring systems,0.0,0.0,0.1112220951679306
native,0.1108333906895692,0.0,0.0
native applications,0.1108333906895692,0.0,0.0
network,0.1108333906895692,0.0,0.0
network security,0.1108333906895692,0.0,0.0
networking,0.0,0.0,0.1112220951679306
networking protocol,0.0,0.0,0.1112220951679306
operations,0.0,0.10528928450074668,0.0
optimized,0.0,0.0,0.19553184815938393
optimized low,0.0,0.0,0.1112220951679306
optimized reduced,0.0,0.0,0.1112220951679306
optimizing,0.1108333906895692,0.0,0.0
optimizing edge,0.1108333906895692,0.0,0.0
orchestration,0.0,0.10528928450074668,0.0
orchestration framework,0.0,0.10528928450074668,0.0
performance,0.0,0.10528928450074668,0.0
performance reliability,0.0,0.10528928450074668,0.0
post,0.0,0.0,0.1112220951679306
post quantum,0.0,0.0,0.1112220951679306
power,0.1108333906895692,0.0,0.0
power consumption,0.1108333906895692,0.0,0.0
predictive,0.09742424689348594,0.09255089269234643,0.0
predictive analytics,0.1108333906895692,0.0,0.0
predictive maintenance,0.0,0.10528928450074668,0.0
protocol,0.08791030796280956,0.08351285987062758,0.08821861875422966
protocol distributed,0.1108333906895692,0.0,0.0
protocol large,0.0,0.10528928450074668,0.0
protocol reducing,0.0,0.0,0.1112220951679306
quantum,0.0,0.0,0.1112220951679306
quantum encryption,0.0,0.0,0.1112220951679306
reduce,0.0,0.10528928450074668,0.0
reduce water,0.0,0.10528928450074668,0.0
reduced,0.0,0.0,0.1112220951679306
reduced carbon,0.0,0.0,0.1112220951679306
reducing,0.09742424689348594,0.0,0.09776592407969197
resource,0.09742424689348594,0.0,0.09776592407969197
secure,0.09742424689348594,0.09255089269234643,0.0
using,0.17582061592561912,0.08351285987062758,0.0
