keyword,base_year_value,latest_year_value,growth
ai,0.0,0.264655856262689,0.264655856262689
carbon,0.0,0.1955318481593839,0.1955318481593839
monitoring,0.0,0.1955318481593839,0.1955318481593839
optimized,0.0,0.1955318481593839,0.1955318481593839
energy,0.0,0.1764372375084593,0.1764372375084593
ai solution,0.0,0.1112220951679306,0.1112220951679306
ai infrastructure,0.0,0.1112220951679306,0.1112220951679306
ai deployments,0.0,0.1112220951679306,0.1112220951679306
carbon energy,0.0,0.1112220951679306,0.1112220951679306
carbon footprint,0.0,0.1112220951679306,0.1112220951679306
cloud based,0.0,0.1112220951679306,0.1112220951679306
cloud workload,0.0,0.1112220951679306,0.1112220951679306
compliance,0.0,0.1112220951679306,0.1112220951679306
compliance monitoring,0.0,0.1112220951679306,0.1112220951679306
compute,0.0,0.1112220951679306,0.1112220951679306
compute edge,0.0,0.1112220951679306,0.1112220951679306
deployments,0.0,0.1112220951679306,0.1112220951679306
distributed edge,0.0,0.1112220951679306,0.1112220951679306
dynamically,0.0,0.1112220951679306,0.1112220951679306
dynamically allocating,0.0,0.1112220951679306,0.1112220951679306
edge ai,0.0,0.1112220951679306,0.1112220951679306
allocating,0.0,0.1112220951679306,0.1112220951679306
allocating compute,0.0,0.1112220951679306,0.1112220951679306
based applications,0.0,0.1112220951679306,0.1112220951679306
encryption,0.0,0.1112220951679306,0.1112220951679306
efficiency,0.0,0.1112220951679306,0.1112220951679306
edge environments,0.0,0.1112220951679306,0.1112220951679306
encryption framework,0.0,0.1112220951679306,0.1112220951679306
ethical,0.0,0.1112220951679306,0.1112220951679306
ethical responsible,0.0,0.1112220951679306,0.1112220951679306
energy efficiency,0.0,0.1112220951679306,0.1112220951679306
energy sources,0.0,0.1112220951679306,0.1112220951679306
healthcare,0.0,0.1112220951679306,0.1112220951679306
healthcare monitoring,0.0,0.1112220951679306,0.1112220951679306
infrastructure optimized,0.0,0.1112220951679306,0.1112220951679306
latency,0.0,0.1112220951679306,0.1112220951679306
latency distributed,0.0,0.1112220951679306,0.1112220951679306
low,0.0,0.1112220951679306,0.1112220951679306
footprint,0.0,0.1112220951679306,0.1112220951679306
footprint energy,0.0,0.1112220951679306,0.1112220951679306
management,0.0,0.1112220951679306,0.1112220951679306
low carbon,0.0,0.1112220951679306,0.1112220951679306
monitoring ethical,0.0,0.1112220951679306,0.1112220951679306
management dynamically,0.0,0.1112220951679306,0.1112220951679306
monitoring systems,0.0,0.1112220951679306,0.1112220951679306
networking,0.0,0.1112220951679306,0.1112220951679306
networking protocol,0.0,0.1112220951679306,0.1112220951679306
optimized low,0.0,0.1112220951679306,0.1112220951679306
optimized reduced,0.0,0.1112220951679306,0.1112220951679306
post,0.0,0.1112220951679306,0.1112220951679306
post quantum,0.0,0.1112220951679306,0.1112220951679306
protocol reducing,0.0,0.1112220951679306,0.1112220951679306
quantum,0.0,0.1112220951679306,0.1112220951679306
quantum encryption,0.0,0.1112220951679306,0.1112220951679306
reduced,0.0,0.1112220951679306,0.1112220951679306
reduced carbon,0.0,0.1112220951679306,0.1112220951679306
